图像算法工程师,深圳市双翌光电科技有限公司,2-3.5万\/月,深圳-宝安区,民营公司,"[""带薪年假"",""五险一金"",""员工旅游"",""年终奖金"",""弹性工作"",""绩效奖金"",""节日福利""]",2年经验,本科,招1人,50-150人
Software Engineer 软件工程师,应用材料投资（中国）有限公司,2.5-3万\/月,北京-大兴区,外资（欧美）,"[""五险一金"",""免费班车"",""年终奖金"",""弹性工作"",""定期体检""]",3-4年经验,硕士,招若干人,1000-5000人
VR工程师,沈阳顺义科技有限公司,0.6-1.2万\/月,沈阳-铁西区,民营公司,"[""五险一金"",""交通补贴"",""餐饮补贴"",""通讯补贴"",""定期体检"",""节日福利"",""单双休"",""生日津贴""]",3-4年经验,"招若干人""],""companysize_text"":""50-150人","companyind_text"":""仪器仪表\/工业自动化"",""adid"":""""},{""type"":""engine_jds"",""jt"":""0_0"",""tags"":[],""ad_track"":"""",""jobid"":""135397682"",""coid"":""6763821"",""effect"":""1"",""is_special_job"":"""",""job_href"":""https:\/\/jobs.51job.com\/nanjing-qhq\/135397682.html?s=sou_sou_soulb&t=0_0"",""job_name"":""测控软件工程师"",""job_title"":""测控软件工程师"",""company_href"":""https:\/\/jobs.51job.com\/all\/coBGRdPlA1VWgFaFEwVjI.html"",""company_name"":""南京讯登航天科技有限公司"",""providesalary_text"":""1-2万\/月"",""workarea"":""070203"",""workarea_text"":""南京-秦淮区"",""updatedate"":""03-08"",""iscommunicate"":"""",""companytype_text"":""民营公司"",""degreefrom"":""6"",""workyear"":""10"",""issuedate"":""2022-03-08 16:45:03"",""isFromXyz"":"""",""isIntern"":"""",""jobwelf"":""五险一金 年终奖金 不加班"",""jobwelf_list"":[""五险一金"",""年终奖金"",""不加班""],""isdiffcity"":"""",""attribute_text"":[""南京-秦淮区"",""无需经验"",""本科"",""招3人",少于50人
初级前端开发工程师,微特技术有限公司,0.5-1万\/月,武汉,民营公司,"[""带薪年假"",""五险一金"",""全勤奖"",""节日福利"",""通讯补贴"",""高温补贴"",""年终分红"",""员工旅游"",""年终奖金"",""餐饮补贴""]",1年经验,大专,招1人,50-150人
激光打印机驱动软件开发工程师,北京德星电子科技有限公司,1.5-3万\/月,北京-海淀区,外资（非欧美）,"[""五险一金"",""补充医疗保险"",""绩效奖金"",""年终奖金"",""弹性工作"",""定期体检"",""员工旅游"",""14薪"",""带薪年假""]",2年经验,本科,招2人,50-150人
对日软件工程师,辽宁松风科技有限公司,2-4万\/月,济南,民营公司,"[""""]",2年经验,本科,招10人,少于50人
Web前端开发工程师,中讯志远（武汉）科技有限公司,0.8-1万\/月,天津-东丽区,民营公司,"[""年终奖金"",""五险一金""]",2年经验,本科,招4人,50-150人
软件开发工程师,成都先进功率半导体股份有限公司,0.8-1.5万\/月,成都,民营公司,"[""五险一金"",""专业培训"",""通讯补贴"",""年终奖金""]",5-7年经验,本科,招1人,1000-5000人
新能源应用软件开发工程师,联合汽车电子有限公司,25-50万\/年,上海-浦东新区,合资,"[""""]",3-4年经验,本科,招若干人,5000-10000人
高级前端开发工程师,上海励能信息技术有限公司,2-2.5万\/月,上海-浦东新区,民营公司,"[""员工旅游"",""五险一金"",""定期体检"",""年终奖金"",""带薪年假"",""做五休二"",""节日福利"",""股票期权""]",3-4年经验,本科,招1人,少于50人
前端开发工程师,上海睿成软件有限公司,1-1.6万\/月,上海,民营公司,"[""五险一金"",""通讯补贴"",""年终奖金""]",2年经验,大专,招2人,50-150人
Web前端开发工程师,福建福旅文博产业有限公司,0.7-1万\/月,福州-鼓楼区,民营公司,"[""五险一金"",""周末双休"",""生日礼券"",""年终奖金"",""带薪年假""]",2年经验,大专,招2人,50-150人
WebGIS开发工程师,航天科工智能运筹与信息安全研究院（武汉）有限公司,1.5-3万\/月,北京-丰台区,国企,"[""五险一金"",""补充医疗保险"",""餐饮补贴"",""专业培训"",""绩效奖金"",""年终奖金"",""定期体检""]",无需经验,本科,招若干人,500-1000人
视觉工程师,武汉东孚光电技术有限公司,0.8-1万\/月,武汉-蔡甸区,民营公司,"[""""]",2年经验,大专,招若干人,少于50人
Android APP\/Framework工程师,南京汉隆科技有限公司,2-3万\/月,南京-雨花台区,民营公司,"[""带薪年假"",""五险一金"",""绩效奖金"",""团建费"",""节日福利"",""生育慰问金"",""旅游活动"",""员工旅游"",""定期体检"",""餐饮补贴""]",5-7年经验,本科,招2人,50-150人
开发工程师,泰迪罗医疗科技（上海）有限公司,0.6-1.2万\/月,大庆,民营公司,"[""五险一金"",""专业培训""]",2年经验,大专,招1人,5000-10000人
PC端软件工程师,浙江宇跃智能科技有限公司,0.7-1.4万\/月,杭州-江干区,合资,"[""五险一金"",""周末双休"",""绩效奖金"",""年终奖金"",""定期体检""]",1年经验,大专,招2人,少于50人
程序员,宁波易商世纪互联科技有限公司,0.8-1.2万\/月,宁波-镇海区,民营公司,"[""五险一金"",""员工旅游"",""专业培训"",""出国机会"",""绩效奖金""]",2年经验,大专,招5人,50-150人
图像算法工程师,苏州艾科锐特生物医学科技有限公司,1-2万\/月,苏州,民营公司,"[""五险一金"",""餐饮补贴"",""专业培训"",""年终奖金"",""弹性工作""]",2年经验,本科,招1人,50-150人
Web前端开发工程师,深圳桑达商用机器有限公司,1-2万\/月,深圳-南山区,合资,"[""五险一金"",""员工旅游"",""餐饮补贴"",""绩效奖金"",""定期体检"",""过节福利"",""年终奖金""]",3-4年经验,本科,招2人,150-500人
游戏前端开发\/unity程序员,中山市赤杨网络科技有限公司,0.8-1.5万\/月,中山,民营公司,"[""周末双休"",""节日福利"",""定期体检"",""每周零食饮料"",""团建活动"",""五险一金"",""弹性工作""]",1年经验,大专,招1人,50-150人
前端开发工程师（ZH）,联奕科技股份有限公司,0.7-1.2万\/月,广州-天河区,上市公司,"[""五险一金"",""员工旅游"",""交通补贴"",""专业培训"",""通讯补贴"",""年终奖金"",""定期体检""]",2年经验,本科,招2人,500-1000人
软件开发工程师,华为技术有限公司,2-2.5万\/月,长沙-岳麓区,民营公司,"[""""]",1年经验,本科,招若干人,10000人以上
前端开发（双休、六险一金）,深圳市德科信息技术有限公司,1-1.5万\/月,广州-南沙区,合资,"[""五险一金"",""年终奖金"",""节日福利"",""绩效奖金""]",3-4年经验,大专,招2人,1000-5000人
后端开发工程师,江苏触宇科技有限公司,0.8-1.5万\/月,苏州-相城区,民营公司,"[""""]",1年经验,本科,招2人,50-150人
Web前端开发工程师,上海英迈吉东影图像设备有限公司,1-1.8万\/月,沈阳-浑南区,民营公司,"[""五险一金"",""餐饮补贴"",""定期体检"",""年终奖金"",""丰厚奖金"",""员工宿舍""]",3-4年经验,本科,招1人,150-500人
DSP软件工程师,江苏纳通能源技术有限公司,1.5-2.5万\/月,苏州-高新区,民营公司,"[""五险一金"",""绩效奖金"",""周末双休"",""加班补贴"",""专业培训"",""带薪年假"",""新能源行业""]",2年经验,本科,招2人,50-150人
ADC软件开发工程师,胜达克半导体科技（上海）有限公司,1-2万\/月,上海-青浦区,合资,"[""做五休二"",""五险一金"",""带薪年假"",""绩效奖金"",""周末双休"",""补充医疗保险"",""定期体检""]",1年经验,本科,招10人,50-150人
