招聘信息,公司名,工作地点,公司类型,薪资,福利,公司规模,企业类型,工作经验,学历,招聘人数,最低薪资,最高薪资
22届校招-项目实施工程师（长沙）,北京数字政通科技股份有限公司,长沙,民营公司,0.7-1万/月,五险一金 餐饮补贴 年终奖金 定期体检 出差补贴 年底双薪 上市公司 晋升平台,1000-5000人,计算机软件,校招,本科,招10人,0.7,1
22届校招-Java开发工程师（通通易联-武汉）,北京数字政通科技股份有限公司,武汉,民营公司,1-1.8万/月,五险一金 餐饮补贴 年终奖金 定期体检 出差补贴 年底双薪 上市公司 晋升平台,1000-5000人,计算机软件,校招,硕士,招10人,1,1.8
22届校招-项目实施工程师（北京）,北京数字政通科技股份有限公司,北京,民营公司,0.7-1万/月,五险一金 餐饮补贴 定期体检 带薪年假 交通补贴 通讯补贴 高温补贴 绩效奖金 年终奖金,1000-5000人,计算机软件,校招,本科,招10人,0.7,1
22届校招-项目实施工程师（武汉）,北京数字政通科技股份有限公司,武汉,民营公司,0.7-1万/月,五险一金 餐饮补贴 定期体检 带薪年假 交通补贴 通讯补贴 高温补贴 绩效奖金 年终奖金,1000-5000人,计算机软件,校招,本科,招10人,0.7,1
22届校招-项目实施工程师（深圳）,北京数字政通科技股份有限公司,深圳,民营公司,0.7-1万/月,五险一金 餐饮补贴 定期体检 带薪年假 交通补贴 通讯补贴 高温补贴 绩效奖金 年终奖金,1000-5000人,计算机软件,校招,本科,招10人,0.7,1
22届校招-项目实施工程师（成都）,北京数字政通科技股份有限公司,成都,民营公司,0.7-1万/月,五险一金 餐饮补贴 定期体检 带薪年假 交通补贴 通讯补贴 高温补贴 绩效奖金 年终奖金,1000-5000人,计算机软件,校招,本科,招10人,0.7,1
22届校招-项目实施工程师（南京）,北京数字政通科技股份有限公司,南京,民营公司,0.7-1万/月,五险一金 餐饮补贴 定期体检 带薪年假 交通补贴 通讯补贴 高温补贴 绩效奖金 年终奖金,1000-5000人,计算机软件,校招,本科,招10人,0.7,1
22届校招-项目经理（成都）,北京数字政通科技股份有限公司,成都,民营公司,0.7-1.2万/月,五险一金 餐饮补贴 定期体检 带薪年假 交通补贴 通讯补贴 绩效奖金 年终奖金 弹性工作,1000-5000人,计算机软件,校招,本科,招10人,0.7,1.2
22届校招-Java开发工程师（武汉）,北京数字政通科技股份有限公司,武汉,民营公司,1-1.8万/月,五险一金 餐饮补贴 定期体检 带薪年假 交通补贴 通讯补贴 绩效奖金 年终奖金 弹性工作,1000-5000人,计算机软件,校招,硕士,招10人,1,1.8
2022届校招-项目实施工程师（云南）,北京数字政通科技股份有限公司,昆明,民营公司,6-8千/月,五险一金 餐饮补贴 年终奖金 定期体检 出差补贴 年底双薪 上市公司 晋升平台,1000-5000人,计算机软件,校招,本科,招若干人,0.6,0.8
2022届校招-项目实施工程师（四川）,北京数字政通科技股份有限公司,成都,民营公司,6-8千/月,五险一金 餐饮补贴 年终奖金 定期体检 出差补贴 年底双薪 上市公司 晋升平台,1000-5000人,计算机软件,校招,本科,招若干人,0.6,0.8
2022届校招-项目实施工程师（重庆）,北京数字政通科技股份有限公司,重庆,民营公司,6-8千/月,五险一金 餐饮补贴 年终奖金 定期体检 出差补贴 年底双薪 上市公司 晋升平台,1000-5000人,计算机软件,校招,本科,招若干人,0.6,0.8
2022届校招-项目实施工程师（贵州）,北京数字政通科技股份有限公司,贵阳,民营公司,6-8千/月,五险一金 餐饮补贴 年终奖金 定期体检 出差补贴 年底双薪 上市公司 晋升平台,1000-5000人,计算机软件,校招,本科,招若干人,0.6,0.8
2022届校招-项目实施工程师（内蒙古）,北京数字政通科技股份有限公司,呼和浩特,民营公司,6-8千/月,五险一金 餐饮补贴 年终奖金 定期体检 出差补贴 年底双薪 上市公司 晋升平台,1000-5000人,计算机软件,校招,本科,招若干人,0.6,0.8
2022届校招-项目实施工程师（吉林）,北京数字政通科技股份有限公司,长春,民营公司,6-8千/月,五险一金 餐饮补贴 年终奖金 定期体检 出差补贴 年底双薪 上市公司 晋升平台,1000-5000人,计算机软件,校招,本科,招若干人,0.6,0.8
2022届校招-项目实施工程师（北京）,北京数字政通科技股份有限公司,北京,民营公司,6-8千/月,五险一金 餐饮补贴 年终奖金 定期体检 出差补贴 年底双薪 上市公司 晋升平台,1000-5000人,计算机软件,校招,本科,招若干人,0.6,0.8
2022届校招-项目实施工程师（天津）,北京数字政通科技股份有限公司,天津,民营公司,6-8千/月,五险一金 餐饮补贴 年终奖金 定期体检 出差补贴 年底双薪 上市公司 晋升平台,1000-5000人,计算机软件,校招,本科,招若干人,0.6,0.8
2022届校招-项目实施工程师（陕西）,北京数字政通科技股份有限公司,西安,民营公司,6-8千/月,五险一金 餐饮补贴 年终奖金 定期体检 出差补贴 年底双薪 上市公司 晋升平台,1000-5000人,计算机软件,校招,本科,招若干人,0.6,0.8
2022届校招-项目实施工程师（甘肃）,北京数字政通科技股份有限公司,兰州,民营公司,6-8千/月,五险一金 餐饮补贴 年终奖金 定期体检 出差补贴 年底双薪 上市公司 晋升平台,1000-5000人,计算机软件,校招,本科,招若干人,0.6,0.8
2022届校招-项目实施工程师（辽宁）,北京数字政通科技股份有限公司,沈阳,民营公司,6-8千/月,五险一金 餐饮补贴 年终奖金 定期体检 出差补贴 年底双薪 上市公司 晋升平台,1000-5000人,计算机软件,校招,本科,招若干人,0.6,0.8
2022届校招-项目实施工程师（新疆）,北京数字政通科技股份有限公司,乌鲁木齐,民营公司,6-8千/月,五险一金 餐饮补贴 年终奖金 定期体检 出差补贴 年底双薪 上市公司 晋升平台,1000-5000人,计算机软件,校招,本科,招若干人,0.6,0.8
技术文员（汽车零件包装）,中久装备智能科技有限公司,常熟,民营公司,4-5千/月,五险一金 年终奖金 定期体检 做五休二 周末双休 带薪年假 交通补贴 餐饮补贴 加班补贴 高温补贴,500-1000人,交通/运输/物流,校招,大专,招1人,0.4,0.5
软件工程师,恩梯梯数据（中国）信息技术有限公司,无锡,合资,6-8千/月,周末双休 带薪年假 五险一金 绩效奖金 节日福利 专业培训 交通补贴 餐饮补贴,1000-5000人,计算机软件,校招,本科,招若干人,0.6,0.8
测试实习生（不限经验+双休）,武汉嘉诺企业管理咨询有限公司,武汉,民营公司,4.5-6千/月,五险一金 补充医疗保险 补充公积金 员工旅游 交通补贴 餐饮补贴 通讯补贴 年终奖金 绩效奖金 弹性工作,50-150人,金融/投资/证券,无需经验,大专,招12人,0.45,0.6
C++开发工程师(J10298),上海派拉软件股份有限公司,上海,民营公司,1.4-2.2万/月,五险一金 员工旅游 餐饮补贴 定期体检 年终奖金,500-1000人,计算机软件,校招,本科,招若干人,1.4,2.2
JAVA开发工程师（2022届毕业生）(J10296),上海派拉软件股份有限公司,武汉,民营公司,0.8-1.2万/月,五险一金 员工旅游 餐饮补贴 定期体检 年终奖金,500-1000人,计算机软件,校招,本科,招若干人,0.8,1.2
JAVA开发工程师（22届）(J10177),上海派拉软件股份有限公司,济南,民营公司,6-8千/月,五险一金 补充医疗保险 员工旅游 专业培训 餐饮补贴 年终奖金 弹性工作 定期体检,500-1000人,计算机软件,校招,本科,招2人,0.6,0.8
JAVA开发工程师（22届）(J10158),上海派拉软件股份有限公司,上海,民营公司,0.6-1.2万/月,五险一金 补充医疗保险 员工旅游 专业培训 餐饮补贴 年终奖金 弹性工作 定期体检,500-1000人,计算机软件,校招,本科,招2人,0.6,1.2
JAVA开发工程师(J10156),上海派拉软件股份有限公司,成都,民营公司,0.6-1.2万/月,五险一金 补充医疗保险 员工旅游 专业培训 餐饮补贴 年终奖金 弹性工作 定期体检,500-1000人,计算机软件,校招,本科,招5人,0.6,1.2
JAVA开发工程师(J10143),上海派拉软件股份有限公司,上海,民营公司,0.6-1.2万/月,五险一金 补充医疗保险 员工旅游 专业培训 餐饮补贴 年终奖金 弹性工作 定期体检,500-1000人,计算机软件,校招,大专,招3人,0.6,1.2
Java开发工程师（22届）(J10131),上海派拉软件股份有限公司,厦门,民营公司,0.6-1.2万/月,五险一金 补充医疗保险 员工旅游 专业培训 餐饮补贴 年终奖金 弹性工作 定期体检,500-1000人,计算机软件,校招,本科,招3人,0.6,1.2
Java开发工程师（22届）(J10132),上海派拉软件股份有限公司,广州,民营公司,0.6-1.2万/月,五险一金 补充医疗保险 员工旅游 专业培训 餐饮补贴 年终奖金 弹性工作 定期体检,500-1000人,计算机软件,校招,本科,招3人,0.6,1.2
JAVA开发工程师（22届）(J10130),上海派拉软件股份有限公司,北京,民营公司,0.6-1.2万/月,五险一金 补充医疗保险 员工旅游 专业培训 餐饮补贴 年终奖金 弹性工作 定期体检,500-1000人,计算机软件,校招,本科,招2人,0.6,1.2
JAVA开发工程师（22届）(J10129),上海派拉软件股份有限公司,北京,民营公司,0.6-1.2万/月,五险一金 补充医疗保险 员工旅游 专业培训 餐饮补贴 年终奖金 弹性工作 定期体检,500-1000人,计算机软件,校招,本科,招4人,0.6,1.2
JAVA开发工程师（22届）(J10042),上海派拉软件股份有限公司,上海,民营公司,0.6-1.2万/月,五险一金 补充医疗保险 员工旅游 专业培训 餐饮补贴 年终奖金 弹性工作 定期体检,500-1000人,计算机软件,校招,本科,招5人,0.6,1.2
JAVA开发工程师（2022届）,上海派拉软件股份有限公司,成都,民营公司,0.6-1.2万/月,五险一金 员工旅游 餐饮补贴 年终奖金 弹性工作,500-1000人,计算机软件,校招,本科,招若干人,0.6,1.2
JAVA开发工程师（2022届）,上海派拉软件股份有限公司,武汉,民营公司,0.6-1.2万/月,五险一金 员工旅游 餐饮补贴 年终奖金 弹性工作,500-1000人,计算机软件,校招,本科,招若干人,0.6,1.2
JAVA开发工程师（2022届）,上海派拉软件股份有限公司,上海,民营公司,1.4-1.8万/月,五险一金 员工旅游 餐饮补贴 年终奖金 弹性工作,500-1000人,计算机软件,校招,本科,招5人,1.4,1.8
Java开发工程师,上海派拉软件股份有限公司,北京,民营公司,0.6-1万/月,五险一金 员工旅游 餐饮补贴 绩效奖金 年终奖金 定期体检,500-1000人,计算机软件,校招,本科,招1人,0.6,1
C++ 软件开发工程师,合肥本源量子计算科技有限责任公司,合肥,民营公司,1.5-3万/月,五险一金 绩效奖金 年终奖金 定期体检 员工旅游 壹到拾年终奖 专业培训,150-500人,电子技术/半导体/集成电路,无需经验,本科,招3人,1.5,3
应用软件开发工程师,合肥本源量子计算科技有限责任公司,合肥,民营公司,1.3-2.5万/月,五险一金 绩效奖金 年终奖金 定期体检 员工旅游 壹到拾年终奖 专业培训,150-500人,电子技术/半导体/集成电路,无需经验,本科,招10人,1.3,2.5
Java开发实习生（2021届、2022届应届本科）,比亚迪股份有限公司,深圳,民营公司,2-3千/月,五险一金 专业培训 周末双休 节日福利,10000人以上,汽车,校招,本科,招10人,0.2,0.3
软件开发工程师（2022届校招）,比亚迪股份有限公司,西安,民营公司,0.7-1.4万/月,五险一金 包住宿 带薪年假 免费班车 绩效奖金 加班补贴 高温补贴,10000人以上,汽车,校招,本科,招若干人,0.7,1.4
软件工程师（2022届应届生）,比亚迪股份有限公司,西安,民营公司,0.6-1万/月,带薪年假 五险一金 专业培训 周末双休 福利房 话补 节日福利 新能源车补贴,10000人以上,汽车,校招,本科,招20人,0.6,1
机器视觉技术支持工程师（教学实验方向）(J10025),中国大恒（集团）有限公司北京图像视觉技术分公司,北京,民营公司,0.8-1.3万/月,五险一金 补充医疗保险 年终奖金 弹性工作 定期体检,500-1000人,仪器仪表/工业自动化,无需经验,本科,招2人,0.8,1.3
业务建模助理工程师（顺德）,广东三扬网络科技有限公司,佛山,民营公司,0.5-1万/月,绩效奖金 年终奖金,50-150人,计算机软件,校招,本科,招若干人,0.5,1
大数据开发工程师,上海安硕信息技术股份有限公司,上海,上市公司,0.6-1万/月,五险一金 员工旅游 餐饮补贴 专业培训 年终奖金 定期体检 周末双休 节假日礼品 定期团建 提供设备,1000-5000人,计算机软件,校招,本科,招5人,0.6,1
C++软件培训生（定向培养岗）,东莞普莱信智能技术有限公司,东莞,民营公司,1-1.5万/月,五险一金 员工旅游 年终奖金 股票期权 弹性工作 定期体检 专业培训,50-150人,仪器仪表/工业自动化,校招,本科,招8人,1,1.5
助理信息化工程师（2021届应届生）,佛山中车四方轨道车辆有限公司,佛山,国企,4.2-8千/月,五险一金 绩效奖金 带薪年假 定期体检,150-500人,交通/运输/物流,无需经验,本科,招1人,0.42,0.8
C++软件工程师,苏州中科先进技术研究院有限公司,苏州,国企,0.8-1.2万/月,年终奖金 餐饮补贴 周末双休 商业保险 带薪年假 节日福利 专业培训 生日礼金 六险一金 实习补贴,50-150人,医疗设备/器械,无需经验,硕士,招1人,0.8,1.2
2022春招-C++开发工程师 (MJ000510),北京东方国信科技股份有限公司,北京,上市公司,0.5-1万/月,五险一金 专业培训 带薪年假 绩效奖金 餐饮补贴,5000-10000人,计算机软件,校招,本科,招10人,0.5,1
c++实习生,江下信息科技(惠州)有限公司,惠州,民营公司,4.5-6千/月,五险一金 交通补贴 餐饮补贴 员工旅游 专业培训 弹性工作 绩效奖金 股票期权 定期体检 出国机会,少于50人,计算机软件,校招,本科,招若干人,0.45,0.6
Python开发工程师,中软国际科技服务有限公司,上海,合资,1.2-2.4万/月,五险一金 定期体检 免费班车 绩效奖金 年终奖金 弹性工作 补充医疗保险,10000人以上,计算机软件,无需经验,本科,招6人,1.2,2.4
JAVA开发工程师（内部管理系统）,民生证券股份有限公司,上海,民营公司,2-2.5万/月,绩效奖金 带薪年假 通讯津贴 午餐补助 扁平管理 五险一金,1000-5000人,金融/投资/证券,无需经验,本科,招若干人,2,2.5
JAVA研发工程师,民生证券股份有限公司,上海,民营公司,1.5-3万/月,管理规范 五险一金 通讯津贴,1000-5000人,金融/投资/证券,无需经验,本科,招若干人,1.5,3
投资交易系统架构师,民生证券股份有限公司,上海,民营公司,2-4万/月,管理规范 五险一金 通讯津贴,1000-5000人,金融/投资/证券,无需经验,本科,招若干人,2,4
2022春招-Java开发工程师 (MJ000457),北京东方国信科技股份有限公司,太原,上市公司,4-8千/月,五险一金 专业培训 带薪年假 绩效奖金 餐饮补贴,5000-10000人,计算机软件,校招,本科,招50人,0.4,0.8
C++软件开发工程师,深圳市道通科技股份有限公司,西安,民营公司,0.9-1.6万/月,带薪年假 五险一金 绩效奖金 全勤奖 节日福利 高温补贴,1000-5000人,电子技术/半导体/集成电路,校招,本科,招15人,0.9,1.6
Java开发工程师,上海安硕信息技术股份有限公司,深圳,上市公司,0.6-1万/月,五险一金 餐饮补贴 专业培训 年终奖金 股票期权 弹性工作,1000-5000人,计算机软件,校招,本科,招5人,0.6,1
流程管理咨询顾问,上海博阳精讯信息科技有限公司,上海,民营公司,4.9-9.9千/月,五险一金 年终奖金 定期体检,50-150人,计算机服务(系统、数据服务、维修),无需经验,本科,招若干人,0.49,0.99
咨询顾问（数据分析方向）,上海博阳精讯信息科技有限公司,北京,民营公司,0.5-1万/月,五险一金 定期体检 年终奖金,50-150人,计算机服务(系统、数据服务、维修),无需经验,本科,招若干人,0.5,1
初中高级C++开发工程师,深圳市睿服科技有限公司,上海,民营公司,1.3-2.6万/月,五险一金 弹性工作 定期体检 定期团建 节假日福利 年终奖金,1000-5000人,计算机软件,无需经验,大专,招20人,1.3,2.6
后端开发C++,合肥宝资智能科技有限公司,合肥,民营公司,6-8千/月,五险一金 绩效奖金 餐饮补贴 带薪年假 团队聚餐 岗位晋升 合伙人计划 电脑补贴 午餐津贴 扁平管理,150-500人,计算机软件,校招,本科,招5人,0.6,0.8
后端开发c++/c#,合肥宝资智能科技有限公司,合肥,民营公司,6-8千/月,五险一金 午餐津贴 电脑补贴 带薪年假 团队聚餐 岗位晋升 合伙人计划 绩效奖金 交通补贴 餐饮补贴,150-500人,计算机软件,校招,本科,招5人,0.6,0.8
java开发工程师-应届生,南京易司拓电力科技股份有限公司,南京,上市公司,1.2-2万/月,五险一金 补充医疗保险 员工旅游 绩效奖金 年终奖金 定期体检,150-500人,电气/电力/水利,校招,本科,招4人,1.2,2
JAVA开发工程师,广州智光电气股份有限公司,杭州,上市公司,1-1.8万/月,周末双休 五险一金 年终奖金 节日福利,1000-5000人,电气/电力/水利,校招,本科,招若干人,1,1.8
.NET开发工程师（校招）,西安华美海润软件工程有限公司,西安,合资,6-8千/月,五险一金 补充医疗保险 员工旅游 定期体检 弹性工作 绩效奖金 年终奖金 出国机会 专业培训 节日福利,50-150人,计算机软件,校招,本科,招5人,0.6,0.8
量化投资研究员,因诺（上海）资产管理有限公司,上海,民营公司,2-3.5万/月,牛人团队 扁平管理 专业培训 餐饮补贴 通讯补贴 员工旅游 定期体检 员工福利,50-150人,金融/投资/证券,无需经验,硕士,招2人,2,3.5
C++软件开发工程师,深圳市道通科技股份有限公司,深圳,民营公司,0.9-1.5万/月,带薪年假 五险一金 绩效奖金 全勤奖 节日福利 高温补贴,1000-5000人,电子技术/半导体/集成电路,校招,本科,招18人,0.9,1.5
蓝鸽集团2022校招简章,蓝鸽集团有限公司,嘉兴,民营公司,1.2-2.4万/月,免费住宿 供应三餐 周末双休 五险一金 股票期权 定期体检 每年多次调薪,1000-5000人,计算机软件,校招,本科,招若干人,1.2,2.4
Java开发工程师,比亚迪股份有限公司,深圳,民营公司,0.7-1.4万/月,零首付购车 五险一金 补充医疗保险 补充公积金 绩效奖金 专业培训 通讯补贴,10000人以上,汽车,无需经验,本科,招2人,0.7,1.4
Camera 工程师,润芯微科技（江苏）有限公司,南京,民营公司,1.2-2万/月,五险一金 餐饮补贴 专业培训 绩效奖金 年终奖金 弹性工作 定期体检,1000-5000人,计算机软件,校招,本科,招若干人,1.2,2
大数据开发工程师（校园招聘）,大圣科技股份有限公司,广州,合资,1-1.3万/月,做五休二 包三餐 五险一金 节日福利 通讯补贴 高温补贴 领导好 架构扁平 团队氛围好 帅哥美女多,150-500人,计算机软件,校招,本科,招1人,1,1.3
Java开发工程师,深圳市道通科技股份有限公司,深圳,民营公司,1.2-2万/月,带薪年假 五险一金 绩效奖金 全勤奖 节日福利 高温补贴,1000-5000人,电子技术/半导体/集成电路,校招,本科,招8人,1.2,2
品牌手机 在线打字客服 住宿+班车+抢先体验,上海成翰信息技术有限公司,上海,合资,6-8千/月,五险一金 补充医疗保险 补充公积金 免费班车 员工旅游 出国机会 专业培训 年终奖金 交通补贴 餐饮补贴,500-1000人,互联网/电子商务,无需经验,中技/中专,招若干人,0.6,0.8
信息技术文员 售后技术支持 地铁直达,上海成翰信息技术有限公司,上海,合资,6-8千/月,五险一金 补充医疗保险 补充公积金 免费班车 员工旅游 出国机会 专业培训 年终奖金 交通补贴 餐饮补贴,500-1000人,互联网/电子商务,无需经验,大专,招若干人,0.6,0.8
包住 售后客服/IT文员 出地铁即到,上海成翰信息技术有限公司,上海,合资,6-8千/月,五险一金 补充医疗保险 补充公积金 免费班车 员工旅游 出国机会 专业培训 年终奖金 交通补贴 餐饮补贴,500-1000人,互联网/电子商务,无需经验,大专,招若干人,0.6,0.8
Java开发工程师（2022届）,上海安硕信息技术股份有限公司,苏州,上市公司,0.7-1.4万/月,五险一金 员工旅游 餐饮补贴 交通补贴 专业培训 年终奖金 定期体检 带薪年假 周末双休 节假日礼品,1000-5000人,计算机软件,校招,本科,招5人,0.7,1.4
Java开发工程师,上海安硕信息技术股份有限公司,上海,上市公司,0.6-1万/月,五险一金 餐饮补贴 专业培训 年终奖金 股票期权 提供住宿,1000-5000人,计算机软件,校招,本科,招20人,0.6,1
Java开发工程师,上海安硕信息技术股份有限公司,上海,上市公司,0.6-1万/月,五险一金 餐饮补贴 专业培训 年终奖金 股票期权 弹性工作,1000-5000人,计算机软件,校招,本科,招30人,0.6,1
Java开发工程师,上海安硕信息技术股份有限公司,上海,上市公司,0.6-1万/月,五险一金 餐饮补贴 专业培训 年终奖金 股票期权 弹性工作,1000-5000人,计算机软件,校招,本科,招20人,0.6,1
Java开发工程师,上海安硕信息技术股份有限公司,武汉,上市公司,0.6-1万/月,五险一金 餐饮补贴 专业培训 年终奖金 股票期权 弹性工作,1000-5000人,计算机软件,校招,本科,招30人,0.6,1
Java开发工程师,上海安硕信息技术股份有限公司,上海,上市公司,0.6-1万/月,五险一金 餐饮补贴 专业培训 年终奖金 股票期权 弹性工作,1000-5000人,计算机软件,校招,本科,招若干人,0.6,1
Java开发工程师,上海安硕信息技术股份有限公司,上海,上市公司,0.8-1万/月,五险一金 餐饮补贴 专业培训 年终奖金 股票期权 弹性工作,1000-5000人,计算机软件,校招,本科,招50人,0.8,1
Java开发工程师,上海安硕信息技术股份有限公司,上海,上市公司,0.6-1万/月,五险一金 餐饮补贴 专业培训 绩效奖金 年终奖金 股票期权 定期体检 提供住宿,1000-5000人,计算机软件,校招,本科,招10人,0.6,1
Java开发工程师,上海安硕信息技术股份有限公司,上海,上市公司,0.6-1万/月,五险一金 餐饮补贴 专业培训 绩效奖金 年终奖金 定期体检,1000-5000人,计算机软件,校招,本科,招20人,0.6,1
Java开发工程师,上海安硕信息技术股份有限公司,枣庄,上市公司,0.6-1万/月,五险一金 餐饮补贴 专业培训 年终奖金 股票期权 弹性工作,1000-5000人,计算机软件,校招,本科,招40人,0.6,1
Java开发工程师,上海安硕信息技术股份有限公司,济宁,上市公司,0.6-1万/月,五险一金 餐饮补贴 专业培训 年终奖金 股票期权 弹性工作,1000-5000人,计算机软件,校招,本科,招50人,0.6,1
Java开发工程师,上海安硕信息技术股份有限公司,烟台,上市公司,0.6-1万/月,五险一金 餐饮补贴 专业培训 年终奖金 股票期权 弹性工作,1000-5000人,计算机软件,校招,本科,招40人,0.6,1
Java开发工程师,上海安硕信息技术股份有限公司,青岛,上市公司,0.6-1万/月,五险一金 餐饮补贴 专业培训 年终奖金 股票期权 弹性工作,1000-5000人,计算机软件,校招,本科,招30人,0.6,1
Java开发工程师,上海安硕信息技术股份有限公司,成都,上市公司,0.6-1万/月,五险一金 餐饮补贴 专业培训 年终奖金 股票期权 弹性工作,1000-5000人,计算机软件,校招,本科,招40人,0.6,1
Java开发工程师,上海安硕信息技术股份有限公司,日照,上市公司,6-8千/月,五险一金 餐饮补贴 专业培训 年终奖金 股票期权 弹性工作,1000-5000人,计算机软件,校招,本科,招40人,0.6,0.8
大数据开发工程师,上海安硕信息技术股份有限公司,苏州,上市公司,0.7-1万/月,五险一金 餐饮补贴 专业培训 年终奖金 股票期权 弹性工作,1000-5000人,计算机软件,校招,本科,招3人,0.7,1
东呈青穗生-大数据 管培生,广西东呈酒店管理集团股份有限公司,广州,民营公司,0.8-1.1万/月,周末双休 五险一金 绩效奖金 通讯补贴 带薪年假 节日福利 专业培训,10000人以上,酒店/旅游,校招,本科,招若干人,0.8,1.1
东呈青穗生-智能化 管培生,广西东呈酒店管理集团股份有限公司,广州,民营公司,0.6-1万/月,周末双休 五险一金 绩效奖金 通讯补贴 带薪年假 节日福利 专业培训,10000人以上,酒店/旅游,校招,本科,招若干人,0.6,1
2022届哈尔滨--Java开发实习生,亚信科技CUC,哈尔滨,上市公司,2-3千/月,免费班车 专业培训,10000人以上,计算机软件,校招,本科,招15人,0.2,0.3
camera Tuning实习生,润芯微科技（江苏）有限公司,上海,民营公司,3-4.5千/月,五险一金 餐饮补贴 弹性工作,1000-5000人,计算机软件,校招,本科,招1人,0.3,0.45
java工程师双休,恒昌涂料（惠阳）有限公司,惠州,外资（非欧美）,0.6-1万/月,周末双休 带薪年假 五险一金 包三餐 包住宿 全勤奖 节日福利 专业培训 加班补贴,500-1000人,石油/化工/矿产/地质,校招,本科,招1人,0.6,1
Java开发工程师（应届）,湖北金百汇文化传播股份有限公司,武汉,上市公司,7-8千/月,五险一金 节日福利 带薪年假 包吃 绩效奖金 全勤奖 年度旅游 年终奖金,50-150人,影视/媒体/艺术/文化传播,校招,本科,招4人,0.7,0.8
Java开发实习生 (MJ044926),金拱门（广州）数据处理服务有限公司,广州,外资（欧美）,2-3千/月,周末双休 节日福利 专业培训 氛围好 领导好,150-500人,餐饮业,校招,本科,招1人,0.2,0.3
应届毕业生开发岗位,江苏润和软件股份有限公司,南京,上市公司,0.5-1万/月,五险一金 餐饮补贴 周末双休 弹性工作,10000人以上,计算机软件,校招,本科,招8人,0.5,1
影像效果技术工程师-社招大学生（c c++）,江苏润和软件股份有限公司,西安,上市公司,0.8-1万/月,五险一金 免费班车 餐饮补贴 专业培训 定期体检 弹性工作 员工旅游,10000人以上,计算机软件,校招,本科,招若干人,0.8,1
JAVA开发工程师,中国深圳外轮代理有限公司,深圳,国企,0.8-1万/月,带薪年假 五险一金 加班补贴 高温补贴 补充医疗保险 年终奖金 定期体检 包住宿 餐饮补贴,500-1000人,交通/运输/物流,校招,本科,招若干人,0.8,1
Net 软件工程师,中国深圳外轮代理有限公司,深圳,国企,0.8-1万/月,带薪年假 五险一金 加班补贴 高温补贴 补充医疗保险 年终奖金 定期体检 包住宿 餐饮补贴,500-1000人,交通/运输/物流,校招,本科,招若干人,0.8,1
Java开发工程师（2022应届生）,江苏金恒信息科技股份有限公司,南京,民营公司,0.8-1.3万/月,五险一金 免费班车 员工旅游 交通补贴 餐饮补贴 绩效奖金 年终奖金 股票期权 定期体检 专业培训,500-1000人,计算机软件,校招,本科,招10人,0.8,1.3
2022春招-Java开发工程师 (MJ000413),北京东方国信科技股份有限公司,北京,上市公司,0.5-1万/月,五险一金 年终奖金 定期体检 专业培训 餐饮补贴,5000-10000人,计算机软件,校招,本科,招50人,0.5,1
助理工程师,浙江夏兴电子科技股份有限公司,温州,上市公司,4-6千/月,五险一金 餐饮补贴 定期体检 包住宿 绩效奖金 节日福利,50-150人,电子技术/半导体/集成电路,无需经验,大专,招2人,0.4,0.6
PHP高级开发工程师,九河信息技术（上海）有限公司,上海,民营公司,2-2.5万/月,弹性工作 带薪年假 五险一金 绩效奖金 全勤奖 节日福利 加班补贴,150-500人,互联网/电子商务,无需经验,本科,招1人,2,2.5
工程师（IT实习生）,上海药明生物技术有限公司,上海,合资,3-4.5千/月,免费班车 午餐补助 五险一金,10000人以上,制药/生物工程,校招,硕士,招若干人,0.3,0.45
工程师（IT实习生生物方向）,上海药明生物技术有限公司,上海,合资,3-4.5千/月,免费班车 午餐补助 五险一金,10000人以上,制药/生物工程,校招,硕士,招若干人,0.3,0.45
Java初级开发工程师,南京莱克贝尔信息技术有限公司,南京,民营公司,0.8-1万/月,五险一金 餐饮补贴 年终奖金 定期体检,50-150人,计算机软件,校招,本科,招2人,0.8,1
Java开发工程师,广州市蓝岭信息技术有限公司,广州,民营公司,6-8千/月,五险一金 员工旅游 通讯补贴 专业培训 出国机会 绩效奖金 年终奖金 弹性工作,50-150人,计算机服务(系统、数据服务、维修),校招,本科,招5人,0.6,0.8
2022校园招聘-软件开发助理工程师,联宝（合肥）电子科技有限公司,合肥,合资,1-1.1万/月,五险一金 免费班车 餐饮补贴 通讯补贴 绩效奖金 弹性工作 补充医疗保险 定期体检,10000人以上,计算机硬件,校招,本科,招2人,1,1.1
Java实习生(05),上海复深蓝软件股份有限公司,上海,上市公司,3-4.5千/月,五险一金 年终奖金 绩效奖金 弹性工作 定期体检 做五休二,1000-5000人,计算机软件,校招,本科,招5人,0.3,0.45
Java开发工程师,南京国图信息产业有限公司,南京,上市公司,0.7-1.1万/月,五险一金 交通补贴 餐饮补贴 通讯补贴 年终奖金 免费住宿,1000-5000人,计算机软件,校招,本科,招4人,0.7,1.1
软件开发工程师 (应届)-市南,优创（青岛）数据技术有限公司,青岛,外资（欧美）,5-6千/月,补充医疗保险 交通补贴 餐饮补贴 绩效奖金 专业培训 定期体检 周末双休 带薪年假 节日福利 六险一金,5000-10000人,外包服务,校招,本科,招1人,0.5,0.6
C语言/C++,润芯微科技（江苏）有限公司,南京,民营公司,0.6-1万/月,五险一金 餐饮补贴 年终奖金 弹性工作 定期体检,1000-5000人,计算机软件,无需经验,本科,招5人,0.6,1
