招聘信息,公司名,工作地点,公司类型,薪资,福利,公司规模,企业类型,工作经验,学历,招聘人数,最低薪资,最高薪资
会计实习生,深圳力合金融控股股份有限公司,深圳,民营公司,2-3.5千/月,五险一金 绩效奖金 年终奖金 定期体检 员工旅游 生日福利 节日福利 五天7小时 年底双薪,50-150人,金融/投资/证券,校招,本科,招若干人,0.2,0.35
助理会计,美嘉企业管理（武汉）有限公司,武汉,民营公司,4.5-6千/月,交通补贴 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金 周末双休 法定假日 保险社保,少于50人,会计/审计,无需经验,大专,招30人,0.45,0.6
电话催收专员（中信银行）,深圳市融泰商务服务有限公司,深圳,民营公司,0.6-1.2万/月,带薪年假 全勤奖 专业培训 绩效奖金 节日福利 年度旅游 月度聚餐 年终奖金 五险一金 包住,150-500人,金融/投资/证券,无需经验,初中及以下,招10人,0.6,1.2
财务会计,杭州柘大飞秒检测技术有限公司,杭州,民营公司,5-8千/月,五险一金 补充医疗保险 员工旅游 定期体检 周末双休,50-150人,检测，认证,校招,大专,招1人,0.5,0.8
会计,武汉神宇电气有限公司,武汉,民营公司,3-4.5千/月,五险一金 专业培训 节日福利 带薪年假 通讯补贴,150-500人,仪器仪表/工业自动化,无需经验,大专,招1人,0.3,0.45
电商财务,深圳咔哒电子商务有限公司,宁波,民营公司,5-7千/月,五险一金 带薪年假,少于50人,互联网/电子商务,无需经验,大专,招1人,0.5,0.7
金融客户经理,福州骊特名门房产顾问有限公司,福州,民营公司,4.5-6千/月,带薪年假 绩效奖金 节日福利 五险一金 员工旅游 专业培训,500-1000人,房地产,无需经验,中技/中专,招3人,0.45,0.6
财务高级主管,上海浦东威立雅自来水有限公司,上海,合资,1-1.5万/月,五险一金 补充医疗保险 补充公积金 定期体检 年终奖金 专业培训,500-1000人,政府/公共事业,无需经验,本科,招1人,1,1.5
出纳与外汇,喜地电子商务有限公司,上海,民营公司,5-6千/月,五险一金 节日福利 年度体检 季度福利 生日福利 福利餐厅 年终奖 娱乐休闲室,150-500人,互联网/电子商务,校招,本科,招若干人,0.5,0.6
应收会计,成都赛特防水材料有限责任公司,成都,国企,4-5千/月,国企福利 五险一金,150-500人,建筑/建材/工程,校招,大专,招1人,0.4,0.5
审计实习生,鹏盛会计师事务所（特殊普通合伙）,深圳,民营公司,3-4千/月,五险一金 交通补贴 通讯补贴 员工旅游 绩效奖金 年终奖金,150-500人,会计/审计,校招,本科,招若干人,0.3,0.4
会计助理有师傅带,广州诚民财务咨询有限公司,广州,民营公司,3.5-5千/月,五险一金 员工旅游 专业培训 通讯补贴 餐饮补贴 年终奖金 绩效奖金 交通补贴,少于50人,专业服务(咨询、人力资源、财会),无需经验,中技/中专,招6人,0.35,0.5
出纳,宝万国际贸易（上海）有限公司,上海,外资（非欧美）,3-4.5千/月,做五休二 周末双休 五险一金 全勤奖 节日福利 绩效奖金,少于50人,贸易/进出口,无需经验,中技/中专,招1人,0.3,0.45
财务会计,无锡海岸电子科技有限公司,无锡,民营公司,6-8千/月,五险一金 专业培训 年终奖金 绩效奖金 定期体检 团队聚餐,50-150人,互联网/电子商务,无需经验,本科,招1人,0.6,0.8
食品行业二方审核员,SGS通标标准技术服务有限公司北京总公司,北京,合资,0.7-1万/月,五险一金 餐饮补贴 专业培训 带薪年假 高温补贴 节日福利 交通补贴 定期体检 年终奖金,10000人以上,检测，认证,校招,本科,招1人,0.7,1
质量安全检测工程师,深圳天祥质量技术服务有限公司（Intertek 天祥集团）,深圳,合资,6-9千/月,餐饮补贴 交通补贴 加班补贴 五险一金 周末双休 带薪年假 免费班车,5000-10000人,检测，认证,无需经验,本科,招2人,0.6,0.9
PJT原价企划担当,广汽丰田汽车有限公司,广州,合资,1-1.5万/月,餐饮补贴 专业培训 年终奖金 节日福利 加班补贴 住房补贴 免费班车 体检 六险二金,10000人以上,汽车,校招,本科,招1人,1,1.5
设备/工艺工程师,深圳创维-RGB电子有限公司,深圳,合资,6-8千/月,五险一金 绩效奖金 餐饮补贴 通讯补贴 带薪年假 节日福利 年终奖金 定期体检 补充医疗保险,10000人以上,家具/家电/玩具/礼品,校招,本科,招2人,0.6,0.8
精益生产实习生,法雷奥发动机冷却（佛山）有限公司,佛山,外资（欧美）,2.5-3.5千/月,免费班车 员工旅游 专业培训 节日福利 免费午晚餐 定期团建 转正机会,500-1000人,汽车,无需经验,本科,招1人,0.25,0.35
Local Engineering Gradaute,埃迈流体技术（上海）有限公司,上海,外资（欧美）,1-1.5万/月,五险一金 定期体检 做五休二 带薪年假,150-500人,机械/设备/重工,校招,本科,招2人,1,1.5
需求计划专员（可接受应届生）,诺德睿行（广州）电子商务有限公司,广州,民营公司,4-6千/月,五险一金 年终奖金 定期体检 股票期权 餐饮补贴,150-500人,快速消费品(食品、饮料、化妆品),校招,本科,招3人,0.4,0.6
结构工程师,湖南深思电工实业有限公司,湘潭,民营公司,4-7千/月,节日福利 餐饮补贴 包住宿 加班补贴 全勤奖 买五险 年终奖金,500-1000人,电子技术/半导体/集成电路,校招,大专,招若干人,0.4,0.7
机械绘图员,宁波奔特洁具有限公司,宁波,外资（非欧美）,5-6千/月,五险一金 员工旅游 绩效奖金 餐饮补贴 通讯补贴 定期体检,50-150人,贸易/进出口,无需经验,大专,招若干人,0.5,0.6
